CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
PETTY THEFT,02/29/2020 08:41:00 PM,20-011752,THEFT,29X,6600 OUTLOOK AV,Oakland,CA,"6600 OUTLOOK AV
Oakland, CA
(37.774658, -122.174604)"
STOLEN VEHICLE,04/01/2020 12:40:00 PM,20-017352,VEHICLE THEFT - AUTO,31Z,10100 PIPPIN ST,Oakland,CA,"10100 PIPPIN ST
Oakland, CA
(37.737178, -122.178441)"
GRAND THEFT,02/18/2020 07:20:00 AM,20-906069,GRAND THEFT,31Y,100 98TH AV,Oakland,CA,"100 98TH AV
Oakland, CA
(37.728129, -122.197428)"
BURG - AUTO,02/24/2020 12:40:00 PM,20-905479,BURGLARY-AUTO,34X,8500 BIRCH ST,Oakland,CA,"8500 BIRCH ST
Oakland, CA
(37.755983, -122.172293)"
FORCIBLE RAPE,03/01/2020 08:00:00 AM,20-014126,RAPE OF DRUGGED VICTIM,17Y,1400 E 31ST ST,Oakland,CA,"1400 E 31ST ST
Oakland, CA
(37.799276, -122.231413)"
FRAUD,01/11/2019 08:45:00 PM,20-906646,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,21Y,3200 BONA ST,Oakland,CA,"3200 BONA ST
Oakland, CA
(37.791066, -122.215323)"
BURG - AUTO,01/06/2020 06:30:00 AM,20-905402,BURGLARY-AUTO,22Y,3300 JOAQUIN MILLER RD,Oakland,CA,"3300 JOAQUIN MILLER RD
Oakland, CA
(37.809821, -122.188993)"
BURG - AUTO,02/12/2020 03:23:00 AM,20-008394,BURGLARY-AUTO,21X,2300 E 24TH ST,Oakland,CA,"2300 E 24TH ST
Oakland, CA
(37.790791, -122.229098)"
PETTY THEFT,02/22/2020 10:02:00 AM,20-010280,THEFT,29X,6600 FOOTHILL BLVD,Oakland,CA,"6600 FOOTHILL BLVD
Oakland, CA
(37.770371, -122.181392)"
,03/25/2020 07:25:00 PM,20-016187,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,32X,1200 99TH AVE,Oakland,CA,"1200 99TH AVE
Oakland, CA
(37.74234, -122.171256)"
VANDALISM,02/25/2020 05:20:00 PM,20-906226,VANDALISM,01X,2ND ST & BROADWAY,Oakland,CA,"2ND ST & BROADWAY
Oakland, CA
(37.796074, -122.276405)"
ROBBERY,03/26/2020 01:57:00 AM,20-016220,ROBBERY-KNIFE OR CUTTING INSTRUMENT,31X,400 HEGENBERGER RD,Oakland,CA,"400 HEGENBERGER RD
Oakland, CA
(37.735772, -122.197083)"
MISDEMEANOR ASSAULT,11/01/2019 12:01:00 AM,20-015908,STALKING-MISD,16Y,1600 TRESTLE GLEN RD,Oakland,CA,"1600 TRESTLE GLEN RD
Oakland, CA
(37.810923, -122.222685)"
PETTY THEFT,02/22/2020 08:10:00 AM,20-906198,THEFT,20X,3000 E 15TH ST,Oakland,CA,"3000 E 15TH ST
Oakland, CA
(37.779484, -122.227446)"
,05/05/2020 10:00:00 AM,20-022764,VEHICLE THEFT - AUTO,32X,700 BLOCK OF 105TH AVE,Oakland,CA,"700 BLOCK OF 105TH AVE
Oakland, CA
(37.733581, -122.177939)"
GRAND THEFT,02/13/2020 12:00:00 AM,20-009961,GRAND THEFT,20X,2600 E 12TH ST,Oakland,CA,"2600 E 12TH ST
Oakland, CA
(37.780024, -122.232752)"
DOMESTIC VIOLENCE,04/24/2020 06:40:00 PM,20-020823,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27X,1700 50TH AV,Oakland,CA,"1700 50TH AV
Oakland, CA
(37.772147, -122.206789)"
MISDEMEANOR ASSAULT,02/04/2020 07:25:00 PM,20-008420,EXHIBIT FIREARM,35Y,11100 GLEN MANOR PL,Oakland,CA,"11100 GLEN MANOR PL
Oakland, CA
(37.750995, -122.122946)"
GRAND THEFT,02/28/2020 03:15:00 PM,20-906510,GRAND THEFT,12X,4700 TELEGRAPH AV,Oakland,CA,"4700 TELEGRAPH AV
Oakland, CA
(37.834351, -122.263049)"
PETTY THEFT,02/08/2020 11:46:00 AM,20-007602,THEFT,33X,1200 97TH AV,Oakland,CA,"1200 97TH AV
Oakland, CA
(37.743493, -122.174408)"
VANDALISM,02/20/2020 02:00:00 AM,20-905975,VANDALISM,20X,500 DERBY AV,Oakland,CA,"500 DERBY AV
Oakland, CA
(37.772024, -122.231691)"
PETTY THEFT,03/27/2020 02:00:00 PM,20-017008,THEFT,28X,2900 MORCOM AV,Oakland,CA,"2900 MORCOM AV
Oakland, CA
(37.777986, -122.192009)"
PETTY THEFT,02/17/2020 10:38:00 AM,20-009761,THEFT,13Y,7100 THORNDALE DR,Oakland,CA,"7100 THORNDALE DR
Oakland, CA
(37.844466, -122.204222)"
GRAND THEFT,03/04/2020 09:00:00 AM,20-906590,GRAND THEFT,31Z,400 105TH AV,Oakland,CA,"400 105TH AV
Oakland, CA
(37.729393, -122.180566)"
BURG - AUTO,02/24/2020 07:40:00 PM,20-905439,BURGLARY-AUTO,08X,2300 BROADWAY,Oakland,CA,"2300 BROADWAY
Oakland, CA
(37.812399, -122.266077)"
BURG - AUTO,02/23/2020 12:12:00 AM,20-905404,BURGLARY-AUTO,03X,800 WEBSTER ST,Oakland,CA,"800 WEBSTER ST
Oakland, CA
(37.799511, -122.271207)"
BURG - RESIDENTIAL,03/04/2020 04:52:00 AM,20-906591,BURGLARY-FORCIBLE ENTRY,25Y,7900 SHAY DR,Oakland,CA,"7900 SHAY DR
Oakland, CA
(37.774702, -122.137631)"
,03/08/2020 11:00:00 AM,20-013257,VEHICLE THEFT - AUTO,21X,2600 E 27TH ST,Oakland,CA,"2600 E 27TH ST
Oakland, CA
(37.791442, -122.222481)"
,05/03/2020 12:36:00 AM,20-909678,GRAND THEFT,,MACARUTHUR BOULEVARD,Oakland,CA,"MACARUTHUR BOULEVARD
Oakland, CA"
,05/15/2020 05:12:00 AM,20-024182,GRAND THEFT,26X,6300 COLISEUM WY,Oakland,CA,"6300 COLISEUM WY
Oakland, CA
(37.756471, -122.206736)"
,05/14/2020 04:00:00 PM,20-024121,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,24X,3500 LYON AV,Oakland,CA,"3500 LYON AV
Oakland, CA
(37.787043, -122.211972)"
BURG - RESIDENTIAL,04/02/2020 03:30:00 AM,20-017335,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,30X,7100 WELD ST,Oakland,CA,"7100 WELD ST
Oakland, CA
(37.763861, -122.183234)"
DOMESTIC VIOLENCE,02/09/2020 10:25:00 AM,20-007774,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,03Y,400 7TH ST,Oakland,CA,"400 7TH ST
Oakland, CA
(37.799026, -122.272977)"
VANDALISM,02/26/2020 10:30:00 AM,20-906220,VANDALISM,04X,200 FRANK H OGAWA PLZ,Oakland,CA,"200 FRANK H OGAWA PLZ
Oakland, CA
(37.80569, -122.271943)"
BURG - AUTO,02/26/2020 09:20:00 PM,20-905933,BURGLARY-AUTO,16X,3200 LAKESHORE AV,Oakland,CA,"3200 LAKESHORE AV
Oakland, CA
(37.810186, -122.245615)"
,04/25/2020 10:30:00 PM,20-021213,ROBBERY-FIREARM,29X,5500 15TH ST,Oakland,CA,"5500 15TH ST
Oakland, CA"
BURG - AUTO,02/22/2020 01:30:00 PM,20-905514,BURGLARY-AUTO,25X,3500 MACARTHUR BLVD,Oakland,CA,"3500 MACARTHUR BLVD
Oakland, CA
(37.793628, -122.200518)"
WEAPONS,05/06/2020 10:29:00 PM,20-022848,POSSESS CONTROLLED SUBSTANCE,19X,2100 EMBARCADERO,Oakland,CA,"2100 EMBARCADERO
Oakland, CA
(37.779839, -122.242626)"
FRAUD,10/02/2017 04:10:00 AM,20-906550,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,27Y,6100 HAYES ST,Oakland,CA,"6100 HAYES ST
Oakland, CA
(37.767969, -122.193439)"
VANDALISM,02/23/2020 07:30:00 PM,20-906196,VANDALISM,08X,2300 WEBSTER ST,Oakland,CA,"2300 WEBSTER ST
Oakland, CA
(37.812136, -122.265203)"
STOLEN VEHICLE,01/10/2020 11:00:00 PM,20-002616,VEHICLE THEFT - AUTO,30Y,2600 73RD AV,Oakland,CA,"2600 73RD AV
Oakland, CA
(37.766901, -122.175421)"
MISDEMEANOR ASSAULT,03/06/2020 10:46:00 PM,20-012945,SC KIDNAPPING,08X,2900 BROADWAY,Oakland,CA,"2900 BROADWAY
Oakland, CA
(37.817422, -122.26293)"
FRAUD,02/26/2020 11:35:00 AM,20-906246,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,99X,00,Oakland,CA,"00
Oakland, CA
(38.678582, -121.229952)"
BURG - AUTO,02/23/2020 02:10:00 AM,20-905411,BURGLARY-AUTO,03X,12TH ST & ALICE ST,Oakland,CA,"12TH ST & ALICE ST
Oakland, CA
(37.801081, -122.267286)"
ROBBERY,01/05/2020 03:30:00 AM,20-000734,BATTERY W/SERIOUS BODILY INJURY,18Y,2800 22ND AV,Oakland,CA,"2800 22ND AV
Oakland, CA
(37.794816, -122.227401)"
BURG - AUTO,02/21/2020 01:45:00 PM,20-905485,BURGLARY-AUTO,16Y,13TH AV & EXCELSIOR AV,Oakland,CA,"13TH AV & EXCELSIOR AV
Oakland, CA
(37.803321, -122.230236)"
MISDEMEANOR ASSAULT,05/07/2020 12:29:00 AM,20-022860,BATTERY,32X,900 MOORPARK AV,Oakland,CA,"900 MOORPARK AV
Oakland, CA
(37.733518, -122.171873)"
MISDEMEANOR ASSAULT,04/23/2020 09:35:00 AM,20-909036,ASSAULT,07X,3000 UNION ST,Oakland,CA,"3000 UNION ST
Oakland, CA
(37.822731, -122.283731)"
BURG - AUTO,02/22/2020 04:30:00 PM,20-905390,BURGLARY-AUTO,15X,400 CAPITAL ST,Oakland,CA,"400 CAPITAL ST
Oakland, CA
(37.80555, -122.24801)"
FORGERY & COUNTERFEITING,02/23/2020 12:00:00 AM,20-906095,THEFT BY USE OF ACCESS CARD,25X,4500 TOMPKINS AV,Oakland,CA,"4500 TOMPKINS AV
Oakland, CA
(37.789774, -122.185991)"
FORGERY & COUNTERFEITING,02/25/2020 12:00:00 AM,20-012398,OBT CREDIT/ETC:OTHER'S ID,20X,2800 E 17TH ST,Oakland,CA,"2800 E 17TH ST
Oakland, CA
(37.78204, -122.22714)"
THREATS,02/25/2020 01:00:00 PM,20-011260,THREAT CRIME:INT:TERRORIZE,21Y,2400 COOLIDGE AV,Oakland,CA,"2400 COOLIDGE AV
Oakland, CA
(37.786275, -122.218976)"
BURG - AUTO,02/24/2020 07:30:00 AM,20-010614,BURGLARY-AUTO,25X,4000 MACARTHUR BLVD,Oakland,CA,"4000 MACARTHUR BLVD
Oakland, CA
(37.790482, -122.19766)"
VANDALISM,03/06/2020 06:40:00 PM,20-906956,VANDALISM,77X,00 BANCROFT AVE,Oakland,CA,"00 BANCROFT AVE
Oakland, CA"
BURG - AUTO,03/10/2020 09:40:00 PM,20-906949,BURGLARY-AUTO,03X,1000 WEBSTER ST,Oakland,CA,"1000 WEBSTER ST
Oakland, CA
(37.800633, -122.270503)"
VANDALISM,02/22/2020 08:00:00 PM,20-906098,VANDALISM,04X,1700 MARTIN LUTHER KING JR W,Oakland,CA,"1700 MARTIN LUTHER KING JR W
Oakland, CA"
THREATS,04/20/2020 12:43:00 PM,20-020117,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,11X,600 56TH ST,Oakland,CA,"600 56TH ST
Oakland, CA
(37.841207, -122.265016)"
PETTY THEFT,02/21/2020 12:26:00 PM,20-010121,THEFT,25Y,8000 GREENRIDGE DR,Oakland,CA,"8000 GREENRIDGE DR
Oakland, CA
(37.772468, -122.154154)"
PETTY THEFT,02/27/2020 12:00:00 PM,20-011304,THEFT,19X,100 E 12TH ST,Oakland,CA,"100 E 12TH ST
Oakland, CA"
OTHER,03/31/2020 06:51:00 AM,20-016998,TRESPASS:OCCUPY PROPERTY W/O CONSENT,04X,500 WILLIAM ST,Oakland,CA,"500 WILLIAM ST
Oakland, CA
(37.809168, -122.271154)"
,04/25/2020 10:30:00 PM,20-021213,CARJACKING WITH FIREARM,29X,5500 15TH ST,Oakland,CA,"5500 15TH ST
Oakland, CA"
,05/14/2020 07:05:00 PM,20-024128,GRAND THEFT,08X,25TH ST & TELEGRAPH AV,Oakland,CA,"25TH ST & TELEGRAPH AV
Oakland, CA
(37.814342, -122.26837)"
BURG - AUTO,03/31/2020 12:40:00 PM,20-017059,BURGLARY-AUTO,26X,HIGH & DAKOTA,Oakland,CA,"HIGH & DAKOTA
Oakland, CA"
RECOVERED O/S STOLEN,04/26/2020 03:10:00 AM,20-019878,VEHICLE THEFT - AUTO,30X,81ST AV & OLIVE ST,Oakland,CA,"81ST AV & OLIVE ST
Oakland, CA
(37.759933, -122.172723)"
GRAND THEFT,04/27/2020 08:40:00 AM,20-909405,GRAND THEFT,08X,400 26TH ST,Oakland,CA,"400 26TH ST
Oakland, CA
(37.815145, -122.266322)"
VANDALISM,04/28/2020 08:00:00 AM,20-909440,VANDALISM,04X,1400 JACKSON ST,Oakland,CA,"1400 JACKSON ST
Oakland, CA
(37.801984, -122.265237)"
STOLEN VEHICLE,02/11/2020 03:00:00 PM,20-008403,VEHICLE THEFT - AUTO,17Y,2700 PARK BLVD,Oakland,CA,"2700 PARK BLVD
Oakland, CA
(37.802383, -122.241406)"
FRAUD,09/06/2017 04:00:00 AM,20-906214,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,27Y,5500 E 17TH ST,Oakland,CA,"5500 E 17TH ST
Oakland, CA
(37.768692, -122.200336)"
STOLEN VEHICLE,02/17/2020 06:00:00 AM,20-009488,VEHICLE THEFT - AUTO,18X,1600 22ND AV,Oakland,CA,"1600 22ND AV
Oakland, CA
(37.786268, -122.236271)"
OTHER,02/10/2020 07:51:00 PM,20-906015,MAIL/ETC THEFT/ETC,01X,200 3RD ST,Oakland,CA,"200 3RD ST
Oakland, CA
(37.794649, -122.270557)"
BURG - AUTO,02/21/2020 10:30:00 PM,20-905910,BURGLARY-AUTO,04X,16TH ST & CLAY ST,Oakland,CA,"16TH ST & CLAY ST
Oakland, CA
(37.806598, -122.272747)"
PETTY THEFT,02/24/2020 12:00:00 AM,20-010742,THEFT,03X,00 10TH ST,Oakland,CA,"00 10TH ST
Oakland, CA"
BURG - AUTO,03/09/2020 08:00:00 PM,20-906922,BURGLARY-AUTO,08X,2300 WEBSTER ST,Oakland,CA,"2300 WEBSTER ST
Oakland, CA
(37.812136, -122.265203)"
GRAND THEFT,04/14/2020 09:20:00 AM,20-909034,THEFT,26X,6200 SAN LEANDRO ST,Oakland,CA,"6200 SAN LEANDRO ST
Oakland, CA
(37.759073, -122.203438)"
FRAUD,02/05/2020 08:00:00 AM,20-905737,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,20X,2900 GLASCOCK ST,Oakland,CA,"2900 GLASCOCK ST
Oakland, CA
(37.772188, -122.233833)"
CURFEW & LOITERING,04/03/2020 12:00:00 PM,20-017739,TRESPASS:OCCUPY PROPERTY W/O CONSENT,27Y,2500 61ST AV,Oakland,CA,"2500 61ST AV
Oakland, CA
(37.769664, -122.190139)"
PETTY THEFT,02/26/2020 05:25:00 PM,20-906221,THEFT,21Y,3100 FRUITVALE AV,Oakland,CA,"3100 FRUITVALE AV
Oakland, CA
(37.79599, -122.217877)"
WEAPONS,04/03/2020 03:20:00 AM,20-017490,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,29X,2900 68TH AV,Oakland,CA,"2900 68TH AV
Oakland, CA
(37.769939, -122.177355)"
MISDEMEANOR ASSAULT,04/02/2020 11:31:00 PM,20-017474,ASSAULT WITH FIREARM ON PERSON,32Y,3000 98TH AV,Oakland,CA,"3000 98TH AV
Oakland, CA
(37.752575, -122.153287)"
,03/18/2020 02:00:00 PM,20-015165,BATTERY,06X,600 30TH ST,Oakland,CA,"600 30TH ST
Oakland, CA
(37.819655, -122.270958)"
VANDALISM,02/26/2020 10:28:00 PM,20-906266,VANDALISM,03Y,800 CLAY ST,Oakland,CA,"800 CLAY ST
Oakland, CA
(37.801153, -122.276174)"
DISORDERLY CONDUCT,02/10/2020 05:30:00 PM,20-008043,DISTURB THE PEACE,06X,3400 MARKET ST,Oakland,CA,"3400 MARKET ST
Oakland, CA
(37.82467, -122.275417)"
BURG - AUTO,02/26/2020 06:45:00 PM,20-011215,BURGLARY-AUTO,27Y,1700 SEMINARY AV,Oakland,CA,"1700 SEMINARY AV
Oakland, CA
(37.766662, -122.197309)"
PETTY THEFT,02/25/2020 03:54:00 PM,20-010905,THEFT,08X,100 GRAND AV,Oakland,CA,"100 GRAND AV
Oakland, CA
(37.811432, -122.265382)"
BURG - AUTO,02/24/2020 02:50:00 AM,20-906075,BURGLARY-AUTO,31X,8000 COLLINS DR,Oakland,CA,"8000 COLLINS DR
Oakland, CA
(37.745755, -122.198334)"
VANDALISM,02/24/2020 12:00:00 AM,20-906186,VANDALISM,12Y,5700 VICENTE ST,Oakland,CA,"5700 VICENTE ST
Oakland, CA
(37.842832, -122.260226)"
DOMESTIC VIOLENCE,04/01/2020 08:26:00 AM,20-017187,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,19X,200 E 12TH ST,Oakland,CA,"200 E 12TH ST
Oakland, CA
(37.797265, -122.257298)"
,03/17/2020 07:35:00 AM,20-014879,THEFT,30X,7300 WELD ST,Oakland,CA,"7300 WELD ST
Oakland, CA
(37.762546, -122.181863)"
BURG - AUTO,02/26/2020 06:00:00 PM,20-011239,BURGLARY-AUTO,20X,1500 29TH AV,Oakland,CA,"1500 29TH AV
Oakland, CA
(37.780265, -122.228186)"
DUI,02/20/2020 10:35:00 PM,20-010045,DUI ALCOHOL/0.08 PERCENT,34X,1400 90TH AV,Oakland,CA,"1400 90TH AV
Oakland, CA
(37.749704, -122.174124)"
FELONY ASSAULT,03/05/2020 10:58:00 PM,20-012763,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,33X,1100 86TH AV,Oakland,CA,"1100 86TH AV
Oakland, CA
(37.750299, -122.181437)"
NARCOTICS,04/11/2020 07:47:00 PM,20-018775,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,06X,600 39TH ST,Oakland,CA,"600 39TH ST
Oakland, CA
(37.828986, -122.268281)"
RECOVERED O/S STOLEN,02/13/2020 03:00:00 PM,20-009309,VEHICLE THEFT - AUTO,20X,3100 E 13TH ST,Oakland,CA,"3100 E 13TH ST
Oakland, CA
(37.777176, -122.227047)"
OTHER SEX OFFENSES,02/20/2020 07:09:00 PM,20-010019,DISORDERLY CONDUCT:PROSTITUTION,19X,1800 BLK E 15TH ST,Oakland,CA,"1800 BLK E 15TH ST
Oakland, CA
(37.787925, -122.241298)"
ROBBERY,04/23/2020 03:14:00 AM,20-020539,ROBBERY-FIREARM,35X,2400 90TH AV,Oakland,CA,"2400 90TH AV
Oakland, CA
(37.754859, -122.162975)"
,04/30/2020 10:39:00 AM,20-021759,VANDALISM,27Y,5800 INTERNATIONAL BLVD,Oakland,CA,"5800 INTERNATIONAL BLVD
Oakland, CA
(37.76543, -122.200198)"
BURG - AUTO,03/04/2020 08:00:00 PM,20-906960,BURGLARY-AUTO,29X,3900 BURCKHALTER AV,Oakland,CA,"3900 BURCKHALTER AV
Oakland, CA
(37.774366, -122.16875)"
FRAUD,04/27/2020 06:40:00 PM,20-909349,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,29X,6100 OAKDALE AV,Oakland,CA,"6100 OAKDALE AV
Oakland, CA
(37.779215, -122.177711)"
,05/08/2020 11:43:00 AM,20-023112,THEFT,30Y,2400 80TH AVE,Oakland,CA,"2400 80TH AVE
Oakland, CA
(37.762775, -122.168637)"
BURG - RESIDENTIAL,02/22/2020 12:15:00 PM,20-010577,BURGLARY-NO FORCE,17X,2000 7TH AV,Oakland,CA,"2000 7TH AV
Oakland, CA
(37.798292, -122.246598)"
MISDEMEANOR ASSAULT,03/15/2020 04:03:00 PM,20-014610,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,25Y,13500 SKYLINE BLVD,Oakland,CA,"13500 SKYLINE BLVD
Oakland, CA
(37.785406, -122.143597)"
OTHER,04/24/2020 10:10:00 PM,20-021234,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,07X,2600 MARKET ST,Oakland,CA,"2600 MARKET ST
Oakland, CA
(37.817542, -122.277537)"
BURG - AUTO,02/26/2020 07:55:00 PM,20-905959,BURGLARY-AUTO,31X,8300 OAKPORT ST,Oakland,CA,"8300 OAKPORT ST
Oakland, CA
(37.740751, -122.198347)"
PETTY THEFT,01/01/2020 08:00:00 AM,20-008423,THEFT,34X,1600 98TH AV,Oakland,CA,"1600 98TH AV
Oakland, CA
(37.745492, -122.168119)"
ROBBERY,02/18/2020 02:00:00 PM,20-009578,ATTEMPTED ROBBERY-FIREARM,01X,200 HARRISON ST,Oakland,CA,"200 HARRISON ST
Oakland, CA
(37.794835, -122.27269)"
,03/16/2020 04:00:00 AM,20-014791,VEHICLE THEFT - AUTO,19X,1100 E 12TH ST,Oakland,CA,"1100 E 12TH ST
Oakland, CA
(37.790456, -122.249576)"
RUNAWAY,03/14/2020 01:44:00 PM,20-014461,RUNAWAY JUVENILE,24X,2100 HIGH ST,Oakland,CA,"2100 HIGH ST
Oakland, CA
(37.776926, -122.209505)"
MISDEMEANOR ASSAULT,02/22/2020 12:17:00 AM,20-010335,WILLFULLY DISCHARGE FIREARM IN A GROSSLY NEG MANNER,07X,800 MEAD AV,Oakland,CA,"800 MEAD AV
Oakland, CA
(37.816439, -122.275235)"
VANDALISM,03/01/2020 04:35:00 PM,20-906387,VANDALISM,31X,400 HEGENBERGER RD,Oakland,CA,"400 HEGENBERGER RD
Oakland, CA
(37.735772, -122.197083)"
MISDEMEANOR ASSAULT,03/01/2020 09:00:00 AM,20-012571,FALSE IMPRISONMENT,35X,9300 VISTA CT,Oakland,CA,"9300 VISTA CT
Oakland, CA
(37.753332, -122.161006)"
VANDALISM,03/28/2020 02:05:00 AM,20-907788,VANDALISM,23X,1800 39TH AV,Oakland,CA,"1800 39TH AV
Oakland, CA
(37.777045, -122.217078)"
VANDALISM,02/27/2020 10:20:00 PM,20-906306,VANDALISM,01X,3RD ST & WASHINGTON ST,Oakland,CA,"3RD ST & WASHINGTON ST
Oakland, CA
(37.797204, -122.277146)"
DISORDERLY CONDUCT,02/06/2020 08:56:00 AM,20-007153,DISTURB THE PEACE,07X,2300 SAN PABLO AV,Oakland,CA,"2300 SAN PABLO AV
Oakland, CA
(37.813591, -122.274188)"
,02/26/2020 10:00:00 PM,20-011362,RAPE OF DRUGGED VICTIM,06X,800 W MACARTHUR BLVD,Oakland,CA,"800 W MACARTHUR BLVD
Oakland, CA
(37.827633, -122.271646)"
PETTY THEFT,02/24/2020 02:00:00 AM,20-906080,MAIL/ETC THEFT/ETC,15X,2100 LAKESHORE AV,Oakland,CA,"2100 LAKESHORE AV
Oakland, CA
(37.804524, -122.250907)"
,03/10/2020 12:45:00 PM,20-907004,GRAND THEFT,28X,5000 MACARTHUR BOULEVARD,Oakland,CA,"5000 MACARTHUR BOULEVARD
Oakland, CA
(37.782665, -122.187921)"
RECOVERED O/S STOLEN,04/04/2020 08:54:00 AM,20-017664,POSSESS CONTROLLED SUBSTANCE,26Y,8000 B ST,Oakland,CA,"8000 B ST
Oakland, CA
(37.755347, -122.183765)"
BURG - AUTO,03/23/2020 08:00:00 PM,20-016434,BURGLARY-AUTO,17X,1600 8TH AV,Oakland,CA,"1600 8TH AV
Oakland, CA
(37.794852, -122.249505)"
DOMESTIC VIOLENCE,03/16/2020 05:00:00 PM,20-014825,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,21X,1900 26TH AV,Oakland,CA,"1900 26TH AV
Oakland, CA
(37.784947, -122.228618)"
VANDALISM,03/26/2020 12:00:00 PM,20-907723,VANDALISM,29X,2700 SEMINARY AV,Oakland,CA,"2700 SEMINARY AV
Oakland, CA
(37.772548, -122.188959)"
DOMESTIC VIOLENCE,02/11/2020 06:50:00 PM,20-905652,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,77X,00,Oakland,CA,"00
Oakland, CA
(38.678582, -121.229952)"
VANDALISM,03/03/2020 07:15:00 PM,20-906575,VANDALISM,11X,500 51ST ST,Oakland,CA,"500 51ST ST
Oakland, CA
(37.837313, -122.262257)"
VANDALISM,04/12/2020 11:44:00 PM,20-018798,VANDALISM,05X,1400 MANDELA PKWY,Oakland,CA,"1400 MANDELA PKWY
Oakland, CA
(37.810752, -122.291324)"
BURG - AUTO,03/05/2020 12:40:00 AM,20-906303,BURGLARY-AUTO,27X,THOMPSON ST & 47TH AV,Oakland,CA,"THOMPSON ST & 47TH AV
Oakland, CA
(37.776556, -122.206248)"
EMBEZZLEMENT,01/20/2020 01:00:00 PM,20-008461,EMBEZZLE LEASED/RENTED VEHICLE,27Y,1400 55TH AV,Oakland,CA,"1400 55TH AV
Oakland, CA
(37.767077, -122.203683)"
PETTY THEFT,04/15/2020 05:40:00 AM,20-908649,THEFT,31Y,8400 ENTERPRISE WY,Oakland,CA,"8400 ENTERPRISE WY
Oakland, CA
(37.744027, -122.194899)"
MISDEMEANOR ASSAULT,04/28/2020 04:10:00 PM,20-021465,ASSAULT WITH FIREARM ON PERSON,31Y,8400 SAN LEANDRO ST,Oakland,CA,"8400 SAN LEANDRO ST
Oakland, CA
(37.747851, -122.190066)"
BURG - AUTO,01/03/2020 09:15:00 PM,20-906765,BURGLARY-AUTO,01X,00 BROADWAY,Oakland,CA,"00 BROADWAY
Oakland, CA"
OTHER,04/03/2020 04:00:00 PM,20-017602,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,15X,1600 2ND AV,Oakland,CA,"1600 2ND AV
Oakland, CA
(37.799171, -122.254616)"
STOLEN VEHICLE,02/16/2020 08:00:00 PM,20-009300,VEHICLE THEFT - AUTO,27X,2400 FRANCES ST,Oakland,CA,"2400 FRANCES ST
Oakland, CA
(37.779767, -122.204198)"
BURG - AUTO,03/21/2020 11:10:00 PM,20-907499,BURGLARY-AUTO,77X,MACARTHUR BOULEVARD,Oakland,CA,"MACARTHUR BOULEVARD
Oakland, CA"
STOLEN VEHICLE,02/19/2020 07:00:00 PM,20-009920,VEHICLE THEFT - AUTO,31Y,300 HEGENBERGER RD,Oakland,CA,"300 HEGENBERGER RD
Oakland, CA
(37.734635, -122.197602)"
BURG - RESIDENTIAL,02/20/2020 05:10:00 PM,20-906004,BURGLARY-FORCIBLE ENTRY,09X,600 OAKLAND AV,Oakland,CA,"600 OAKLAND AV
Oakland, CA
(37.820411, -122.251307)"
THREATS,01/19/2020 07:00:00 PM,20-003524,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,30X,2600 68TH AV,Oakland,CA,"2600 68TH AV
Oakland, CA
(37.766588, -122.183293)"
RECOVERED O/S STOLEN,02/23/2020 04:08:00 PM,20-010508,VEHICLE THEFT - AUTO,07X,3500 SAN PABLO AV,Oakland,CA,"3500 SAN PABLO AV
Oakland, CA
(37.82608, -122.278193)"
FORGERY & COUNTERFEITING,03/22/2020 12:14:00 PM,20-907527,THEFT BY USE OF ACCESS CARD,14Y,700 OAKLAND AV,Oakland,CA,"700 OAKLAND AV
Oakland, CA
(37.821064, -122.249132)"
